
Sat Sep 12 10:54:33 EDT 2015
numactl --interleave=all ../testing/testing_dsymv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
   31      0.05 (   0.04)      0.06 (   0.03)      0.07 (   0.03)      0.64 (   0.00)   1.15e-16   1.15e-16   1.15e-16   ok
   32      0.06 (   0.04)      0.07 (   0.03)      0.08 (   0.03)      0.52 (   0.00)   1.11e-16   1.11e-16   1.11e-16   ok
   33      0.06 (   0.04)      0.06 (   0.04)      0.08 (   0.03)      0.55 (   0.00)   1.61e-16   1.08e-16   1.08e-16   ok
   34      0.06 (   0.04)      0.06 (   0.04)      0.08 (   0.03)      0.59 (   0.00)   2.09e-16   2.09e-16   1.57e-16   ok
   35      0.07 (   0.04)      0.07 (   0.04)      0.09 (   0.03)      0.81 (   0.00)   1.02e-16   1.52e-16   1.02e-16   ok
   36      0.07 (   0.04)      0.07 (   0.04)      0.10 (   0.03)      0.93 (   0.00)   1.48e-16   1.48e-16   1.48e-16   ok
   37      0.07 (   0.04)      0.07 (   0.04)      0.10 (   0.03)      0.69 (   0.00)   1.44e-16   9.60e-17   1.44e-16   ok
   38      0.08 (   0.04)      0.08 (   0.04)      0.11 (   0.03)      0.96 (   0.00)   1.40e-16   9.35e-17   1.40e-16   ok
   39      0.08 (   0.04)      0.07 (   0.04)      0.11 (   0.03)      0.82 (   0.00)   1.37e-16   9.11e-17   9.11e-17   ok
   40      0.08 (   0.04)      0.09 (   0.04)      0.12 (   0.03)      0.81 (   0.00)   8.88e-17   1.33e-16   8.88e-17   ok
   41      0.09 (   0.04)      0.09 (   0.04)      0.12 (   0.03)      0.85 (   0.00)   1.73e-16   1.73e-16   1.73e-16   ok
   42      0.10 (   0.04)      0.10 (   0.04)      0.12 (   0.03)      0.89 (   0.00)   2.11e-16   1.27e-16   8.46e-17   ok
   43      0.10 (   0.04)      0.10 (   0.04)      0.13 (   0.03)      0.93 (   0.00)   1.65e-16   1.65e-16   1.65e-16   ok
   44      0.10 (   0.04)      0.10 (   0.04)      0.12 (   0.03)      0.98 (   0.00)   1.21e-16   1.61e-16   1.61e-16   ok
   45      0.11 (   0.04)      0.11 (   0.04)      0.14 (   0.03)      1.09 (   0.00)   1.18e-16   1.58e-16   1.18e-16   ok
   46      0.10 (   0.04)      0.12 (   0.04)      0.15 (   0.03)      1.07 (   0.00)   1.54e-16   1.54e-16   1.54e-16   ok
   47      0.12 (   0.04)      0.12 (   0.04)      0.16 (   0.03)      1.11 (   0.00)   1.51e-16   1.51e-16   1.51e-16   ok
   48      0.13 (   0.04)      0.13 (   0.04)      0.17 (   0.03)      1.16 (   0.00)   2.22e-16   2.22e-16   2.22e-16   ok
   49      0.14 (   0.04)      0.14 (   0.04)      0.17 (   0.03)      1.21 (   0.00)   1.45e-16   2.18e-16   1.45e-16   ok
   50      0.13 (   0.04)      0.14 (   0.04)      0.18 (   0.03)      1.02 (   0.01)   2.13e-16   2.13e-16   1.42e-16   ok
   51      0.15 (   0.04)      0.14 (   0.04)      0.18 (   0.03)      1.06 (   0.01)   2.09e-16   1.39e-16   1.39e-16   ok
   52      0.15 (   0.04)      0.15 (   0.04)      0.20 (   0.03)      1.36 (   0.00)   1.37e-16   1.37e-16   1.37e-16   ok
   53      0.15 (   0.04)      0.15 (   0.04)      0.20 (   0.03)      1.14 (   0.01)   1.34e-16   2.01e-16   1.34e-16   ok
   54      0.16 (   0.04)      0.16 (   0.04)      0.20 (   0.03)      1.47 (   0.00)   1.32e-16   1.32e-16   1.32e-16   ok
   55      0.17 (   0.04)      0.16 (   0.04)      0.22 (   0.03)      1.23 (   0.01)   1.29e-16   1.94e-16   1.29e-16   ok
   56      0.18 (   0.04)      0.17 (   0.04)      0.23 (   0.03)      1.58 (   0.00)   3.17e-16   1.90e-16   1.90e-16   ok
   57      0.18 (   0.04)      0.17 (   0.04)      0.24 (   0.03)      1.32 (   0.01)   1.87e-16   1.87e-16   1.87e-16   ok
   58      0.17 (   0.04)      0.18 (   0.04)      0.24 (   0.03)      1.37 (   0.01)   1.23e-16   1.23e-16   1.23e-16   ok
   59      0.19 (   0.04)      0.19 (   0.04)      0.24 (   0.03)      1.41 (   0.01)   1.81e-16   1.81e-16   1.20e-16   ok
   60      0.20 (   0.04)      0.18 (   0.04)      0.24 (   0.03)      1.46 (   0.01)   1.78e-16   1.18e-16   1.18e-16   ok
   61      0.19 (   0.04)      0.19 (   0.04)      0.26 (   0.03)      1.51 (   0.01)   2.33e-16   1.75e-16   1.75e-16   ok
   62      0.21 (   0.04)      0.20 (   0.04)      0.26 (   0.03)      1.56 (   0.01)   1.72e-16   1.72e-16   1.15e-16   ok
   63      0.21 (   0.04)      0.21 (   0.04)      0.27 (   0.03)      1.35 (   0.01)   1.13e-16   1.13e-16   1.13e-16   ok
   64      0.22 (   0.04)      0.22 (   0.04)      0.29 (   0.03)      1.40 (   0.01)   1.67e-16   1.11e-16   2.22e-16   ok
   65      0.20 (   0.04)      0.21 (   0.04)      0.27 (   0.03)      1.38 (   0.01)   2.19e-16   1.64e-16   1.64e-16   ok
   66      0.20 (   0.05)      0.22 (   0.04)      0.29 (   0.03)      1.48 (   0.01)   2.15e-16   2.69e-16   2.15e-16   ok
   67      0.21 (   0.04)      0.23 (   0.04)      0.27 (   0.03)      1.27 (   0.01)   1.59e-16   1.59e-16   1.59e-16   ok
   68      0.20 (   0.05)      0.23 (   0.04)      0.29 (   0.03)      1.57 (   0.01)   1.57e-16   1.57e-16   1.04e-16   ok
   69      0.22 (   0.04)      0.24 (   0.04)      0.30 (   0.03)      1.56 (   0.01)   1.54e-16   1.54e-16   1.54e-16   ok
   70      0.22 (   0.05)      0.25 (   0.04)      0.31 (   0.03)      1.60 (   0.01)   2.03e-16   2.54e-16   2.54e-16   ok
   71      0.24 (   0.04)      0.25 (   0.04)      0.33 (   0.03)      1.43 (   0.01)   2.50e-16   2.00e-16   2.00e-16   ok
   72      0.23 (   0.05)      0.26 (   0.04)      0.33 (   0.03)      1.70 (   0.01)   1.97e-16   1.97e-16   1.48e-16   ok
   73      0.25 (   0.04)      0.26 (   0.04)      0.33 (   0.03)      1.81 (   0.01)   1.95e-16   1.95e-16   1.95e-16   ok
   74      0.25 (   0.04)      0.28 (   0.04)      0.36 (   0.03)      1.86 (   0.01)   1.44e-16   1.92e-16   1.92e-16   ok
   75      0.27 (   0.04)      0.29 (   0.04)      0.37 (   0.03)      1.65 (   0.01)   2.37e-16   1.89e-16   1.89e-16   ok
   76      0.28 (   0.04)      0.30 (   0.04)      0.38 (   0.03)      1.96 (   0.01)   1.40e-16   2.34e-16   1.87e-16   ok
   77      0.28 (   0.04)      0.29 (   0.04)      0.38 (   0.03)      1.68 (   0.01)   2.77e-16   1.85e-16   1.85e-16   ok
   78      0.29 (   0.04)      0.31 (   0.04)      0.40 (   0.03)      1.78 (   0.01)   2.28e-16   2.73e-16   2.28e-16   ok
   79      0.29 (   0.04)      0.31 (   0.04)      0.38 (   0.03)      1.83 (   0.01)   1.80e-16   2.25e-16   1.80e-16   ok
   80      0.29 (   0.04)      0.32 (   0.04)      0.39 (   0.03)      1.87 (   0.01)   2.66e-16   1.78e-16   1.78e-16   ok
   81      0.30 (   0.04)      0.32 (   0.04)      0.35 (   0.04)      1.64 (   0.01)   2.63e-16   2.19e-16   1.75e-16   ok
   82      0.30 (   0.05)      0.33 (   0.04)      0.41 (   0.03)      1.68 (   0.01)   1.73e-16   1.73e-16   1.30e-16   ok
   83      0.30 (   0.05)      0.34 (   0.04)      0.42 (   0.03)      1.77 (   0.01)   1.71e-16   1.71e-16   1.71e-16   ok
   84      0.32 (   0.04)      0.34 (   0.04)      0.43 (   0.03)      1.76 (   0.01)   2.11e-16   2.11e-16   1.69e-16   ok
   85      0.34 (   0.04)      0.36 (   0.04)      0.44 (   0.03)      1.80 (   0.01)   1.67e-16   1.67e-16   2.09e-16   ok
   86      0.33 (   0.05)      0.36 (   0.04)      0.45 (   0.03)      1.85 (   0.01)   1.65e-16   2.07e-16   1.65e-16   ok
   87      0.33 (   0.05)      0.36 (   0.04)      0.47 (   0.03)      1.69 (   0.01)   2.45e-16   2.45e-16   2.45e-16   ok
   88      0.34 (   0.05)      0.37 (   0.04)      0.46 (   0.03)      1.99 (   0.01)   1.61e-16   1.61e-16   1.61e-16   ok
   89      0.34 (   0.05)      0.38 (   0.04)      0.50 (   0.03)      1.82 (   0.01)   2.40e-16   1.60e-16   1.60e-16   ok
   90      0.38 (   0.04)      0.41 (   0.04)      0.53 (   0.03)      2.08 (   0.01)   2.37e-16   2.37e-16   1.58e-16   ok
  100      0.46 (   0.04)      0.48 (   0.04)      0.60 (   0.03)      2.57 (   0.01)   1.78e-16   2.13e-16   2.13e-16   ok
  110      0.53 (   0.05)      0.58 (   0.04)      0.70 (   0.04)      2.44 (   0.01)   2.58e-16   2.58e-16   3.23e-16   ok
  120      0.63 (   0.05)      0.66 (   0.04)      0.81 (   0.04)      2.65 (   0.01)   2.37e-16   2.96e-16   2.37e-16   ok
  130      0.66 (   0.05)      0.74 (   0.05)      0.92 (   0.04)      2.60 (   0.01)   2.19e-16   2.73e-16   2.19e-16   ok
  140      0.77 (   0.05)      0.86 (   0.05)      1.03 (   0.04)      2.81 (   0.01)   3.05e-16   2.54e-16   3.05e-16   ok
  150      0.85 (   0.05)      0.98 (   0.05)      1.23 (   0.04)      2.64 (   0.02)   2.37e-16   2.37e-16   2.84e-16   ok
  160      1.01 (   0.05)      1.12 (   0.05)      1.39 (   0.04)      3.00 (   0.02)   2.22e-16   1.78e-16   1.78e-16   ok
  170      1.07 (   0.05)      1.21 (   0.05)      1.50 (   0.04)      1.50 (   0.04)   4.18e-16   4.18e-16   4.18e-16   ok
  180      1.30 (   0.05)      1.36 (   0.05)      1.67 (   0.04)      1.76 (   0.04)   2.37e-16   2.76e-16   2.37e-16   ok
  190      1.45 (   0.05)      1.51 (   0.05)      1.90 (   0.04)      1.73 (   0.04)   3.74e-16   3.74e-16   3.74e-16   ok
  200      1.36 (   0.06)      1.58 (   0.05)      1.97 (   0.04)      1.83 (   0.04)   5.68e-16   6.39e-16   5.68e-16   ok
  210      1.47 (   0.06)      1.74 (   0.05)      2.11 (   0.04)      1.77 (   0.05)   4.74e-16   4.74e-16   4.74e-16   ok
  220      1.62 (   0.06)      1.87 (   0.05)      2.32 (   0.04)      1.80 (   0.05)   4.52e-16   3.88e-16   3.88e-16   ok
  230      1.83 (   0.06)      2.04 (   0.05)      2.48 (   0.04)      1.90 (   0.06)   4.33e-16   4.33e-16   3.71e-16   ok
  240      2.02 (   0.06)      2.10 (   0.06)      2.68 (   0.04)      2.23 (   0.05)   3.55e-16   2.96e-16   3.55e-16   ok
  250      2.17 (   0.06)      2.32 (   0.05)      2.85 (   0.04)      2.16 (   0.06)   3.41e-16   3.41e-16   3.41e-16   ok
  260      2.03 (   0.07)      2.48 (   0.05)      2.88 (   0.05)      3.23 (   0.04)   3.83e-16   3.28e-16   3.28e-16   ok
  270      2.28 (   0.06)      2.66 (   0.06)      3.04 (   0.05)      2.76 (   0.05)   4.74e-16   4.21e-16   4.21e-16   ok
  280      2.50 (   0.06)      2.92 (   0.05)      3.42 (   0.05)      3.08 (   0.05)   4.57e-16   4.06e-16   3.55e-16   ok
  290      2.59 (   0.07)      3.01 (   0.06)      3.44 (   0.05)      3.37 (   0.05)   4.41e-16   3.43e-16   4.41e-16   ok
  300      2.78 (   0.06)      3.17 (   0.06)      3.61 (   0.05)      3.28 (   0.06)   6.63e-16   4.74e-16   4.74e-16   ok
  310      3.01 (   0.06)      3.38 (   0.06)      3.87 (   0.05)      2.92 (   0.07)   4.13e-16   4.58e-16   4.58e-16   ok
  320      3.12 (   0.07)      3.67 (   0.06)      4.20 (   0.05)      3.16 (   0.07)   4.00e-16   4.00e-16   3.55e-16   ok
  330      3.03 (   0.07)      3.69 (   0.06)      4.20 (   0.05)      3.32 (   0.07)   6.03e-16   5.17e-16   5.17e-16   ok
  340      3.26 (   0.07)      3.86 (   0.06)      4.54 (   0.05)      3.27 (   0.07)   5.02e-16   4.60e-16   5.02e-16   ok
  350      3.57 (   0.07)      4.04 (   0.06)      4.73 (   0.05)      3.00 (   0.08)   4.06e-16   4.06e-16   4.87e-16   ok
  360      3.52 (   0.07)      4.26 (   0.06)      4.82 (   0.05)      3.38 (   0.08)   6.32e-16   4.74e-16   5.53e-16   ok
  370      3.81 (   0.07)      4.35 (   0.06)      5.01 (   0.05)      3.27 (   0.08)   5.38e-16   5.38e-16   5.38e-16   ok
  380      4.08 (   0.07)      4.65 (   0.06)      5.37 (   0.05)      3.49 (   0.08)   5.98e-16   5.98e-16   6.73e-16   ok
  390      3.96 (   0.08)      4.77 (   0.06)      5.44 (   0.06)      4.24 (   0.07)   6.56e-16   5.83e-16   5.10e-16   ok
  400      4.17 (   0.08)      5.10 (   0.06)      5.73 (   0.06)      4.86 (   0.07)   8.53e-16   7.82e-16   7.11e-16   ok
  410      4.43 (   0.08)      5.03 (   0.07)      6.02 (   0.06)      5.03 (   0.07)   4.85e-16   4.85e-16   4.85e-16   ok
  420      4.48 (   0.08)      5.28 (   0.07)      6.10 (   0.06)      5.05 (   0.07)   6.77e-16   6.77e-16   5.41e-16   ok
  430      4.75 (   0.08)      5.45 (   0.07)      6.29 (   0.06)      4.26 (   0.09)   6.61e-16   7.27e-16   5.95e-16   ok
  440      4.73 (   0.08)      5.71 (   0.07)      6.46 (   0.06)      4.68 (   0.08)   5.17e-16   5.17e-16   5.17e-16   ok
  450      4.77 (   0.09)      5.79 (   0.07)      6.33 (   0.06)      4.82 (   0.08)   5.05e-16   5.05e-16   5.05e-16   ok
  460      5.11 (   0.08)      6.24 (   0.07)      6.95 (   0.06)      4.87 (   0.09)   8.65e-16   8.03e-16   7.41e-16   ok
  470      5.26 (   0.08)      6.52 (   0.07)      7.25 (   0.06)      4.43 (   0.10)   6.05e-16   6.05e-16   6.05e-16   ok
  480      5.78 (   0.08)      6.89 (   0.07)      7.69 (   0.06)      4.44 (   0.10)   6.51e-16   6.51e-16   6.51e-16   ok
  490      5.94 (   0.08)      6.89 (   0.07)      7.29 (   0.07)      4.76 (   0.10)   7.54e-16   7.54e-16   7.54e-16   ok
  500      5.95 (   0.08)      7.15 (   0.07)      7.70 (   0.07)      4.59 (   0.11)   8.53e-16   7.96e-16   8.53e-16   ok
  510      6.51 (   0.08)      7.44 (   0.07)      8.16 (   0.06)      4.49 (   0.12)   8.36e-16   7.80e-16   7.80e-16   ok
  520      5.96 (   0.09)      7.53 (   0.07)      8.09 (   0.07)      6.23 (   0.09)   7.65e-16   6.01e-16   5.47e-16   ok
  530      6.25 (   0.09)      7.72 (   0.07)      8.25 (   0.07)      6.61 (   0.09)   6.97e-16   6.44e-16   6.44e-16   ok
  540      6.64 (   0.09)      7.88 (   0.07)      8.34 (   0.07)      6.22 (   0.09)   6.84e-16   5.79e-16   5.26e-16   ok
  550      6.67 (   0.09)      7.97 (   0.08)      8.53 (   0.07)      5.56 (   0.11)   5.17e-16   5.17e-16   6.20e-16   ok
  560      6.97 (   0.09)      8.37 (   0.08)      8.87 (   0.07)      5.56 (   0.11)   5.58e-16   5.58e-16   6.09e-16   ok
  570      7.07 (   0.09)      8.56 (   0.08)      9.04 (   0.07)      5.52 (   0.12)   8.48e-16   6.98e-16   7.98e-16   ok
  580      6.95 (   0.10)      8.75 (   0.08)      9.36 (   0.07)      5.85 (   0.12)   6.86e-16   6.86e-16   6.37e-16   ok
  590      6.96 (   0.10)      8.95 (   0.08)      9.44 (   0.07)      5.45 (   0.13)   8.19e-16   8.19e-16   7.23e-16   ok
  600      7.20 (   0.10)      8.92 (   0.08)      9.76 (   0.07)      5.50 (   0.13)   7.58e-16   7.58e-16   7.58e-16   ok
  610      7.52 (   0.10)      8.98 (   0.08)      9.80 (   0.08)      5.64 (   0.13)   6.52e-16   5.13e-16   6.06e-16   ok
  620      7.69 (   0.10)      9.18 (   0.08)     10.00 (   0.08)      5.59 (   0.14)   5.96e-16   6.42e-16   5.96e-16   ok
  630      8.04 (   0.10)      9.47 (   0.08)     10.45 (   0.08)      5.56 (   0.14)   6.77e-16   7.22e-16   6.77e-16   ok
  640      7.89 (   0.10)      9.53 (   0.09)     10.65 (   0.08)      7.34 (   0.11)   5.77e-16   6.22e-16   5.77e-16   ok
  650      7.91 (   0.11)      9.73 (   0.09)     10.86 (   0.08)      7.63 (   0.11)   7.00e-16   6.12e-16   6.12e-16   ok
  660      8.08 (   0.11)      9.79 (   0.09)     10.89 (   0.08)      7.45 (   0.12)   7.32e-16   6.46e-16   6.46e-16   ok
  670      8.33 (   0.11)     10.00 (   0.09)     11.12 (   0.08)      6.51 (   0.14)   5.51e-16   5.51e-16   5.51e-16   ok
  680      8.50 (   0.11)     10.30 (   0.09)     11.60 (   0.08)      6.56 (   0.14)   5.85e-16   5.85e-16   6.69e-16   ok
  690      8.68 (   0.11)     10.36 (   0.09)     11.46 (   0.08)      6.45 (   0.15)   6.18e-16   5.77e-16   4.94e-16   ok
  700      8.78 (   0.11)     10.55 (   0.09)     11.83 (   0.08)      6.63 (   0.15)   6.50e-16   6.90e-16   7.31e-16   ok
  710      8.55 (   0.12)     10.64 (   0.09)     12.03 (   0.08)      6.23 (   0.16)   1.04e-15   9.61e-16   8.81e-16   ok
  720      8.94 (   0.12)     11.17 (   0.09)     12.51 (   0.08)      6.57 (   0.16)   9.47e-16   9.47e-16   9.47e-16   ok
  730      9.21 (   0.12)     11.25 (   0.09)     12.00 (   0.09)      6.71 (   0.16)   8.57e-16   7.79e-16   7.01e-16   ok
  740      9.39 (   0.12)     11.41 (   0.10)     12.33 (   0.09)      6.76 (   0.16)   7.68e-16   6.91e-16   6.91e-16   ok
  750      9.55 (   0.12)     11.72 (   0.10)     12.40 (   0.09)      6.39 (   0.18)   7.58e-16   7.58e-16   8.34e-16   ok
  760      9.55 (   0.12)     11.80 (   0.10)     12.87 (   0.09)      6.54 (   0.18)   6.73e-16   5.98e-16   5.98e-16   ok
  770      9.65 (   0.12)     11.97 (   0.10)     12.90 (   0.09)      8.08 (   0.15)   7.38e-16   5.91e-16   6.64e-16   ok
  780      9.68 (   0.13)     12.31 (   0.10)     12.68 (   0.10)      8.18 (   0.15)   1.02e-15   1.02e-15   9.47e-16   ok
  790     10.16 (   0.12)     12.36 (   0.10)     13.44 (   0.09)      7.66 (   0.16)   7.91e-16   7.20e-16   7.91e-16   ok
  800     10.24 (   0.13)     12.68 (   0.10)     13.64 (   0.09)      7.59 (   0.17)   8.53e-16   8.53e-16   7.82e-16   ok
  810     10.44 (   0.13)     12.76 (   0.10)     13.67 (   0.10)      7.30 (   0.18)   9.82e-16   8.42e-16   8.42e-16   ok
  820     10.60 (   0.13)     12.95 (   0.10)     14.19 (   0.09)      7.44 (   0.18)   8.32e-16   8.32e-16   8.32e-16   ok
  830     10.69 (   0.13)     13.24 (   0.10)     14.36 (   0.10)      7.38 (   0.19)   1.03e-15   9.59e-16   8.90e-16   ok
  840     10.62 (   0.13)     13.32 (   0.11)     14.56 (   0.10)      7.65 (   0.18)   7.44e-16   8.12e-16   8.80e-16   ok
  850     10.87 (   0.13)     13.67 (   0.11)     14.91 (   0.10)      7.45 (   0.19)   8.69e-16   9.36e-16   9.36e-16   ok
  860     11.05 (   0.13)     13.96 (   0.11)     14.82 (   0.10)      7.52 (   0.20)   9.91e-16   9.25e-16   1.06e-15   ok
  870     11.21 (   0.14)     13.91 (   0.11)     15.03 (   0.10)      7.22 (   0.21)   9.80e-16   7.84e-16   7.84e-16   ok
  880     11.57 (   0.13)     14.48 (   0.11)     15.48 (   0.10)      7.25 (   0.21)   8.40e-16   9.04e-16   9.04e-16   ok
  890     11.84 (   0.13)     14.43 (   0.11)     15.69 (   0.10)      7.14 (   0.22)   9.58e-16   8.94e-16   9.58e-16   ok
  900     11.49 (   0.14)     14.35 (   0.11)     15.60 (   0.10)      8.77 (   0.19)   1.01e-15   1.01e-15   1.01e-15   ok
 1000     13.08 (   0.15)     16.69 (   0.12)     17.39 (   0.12)      7.98 (   0.25)   1.08e-15   9.66e-16   1.02e-15   ok
 1100     14.25 (   0.17)     18.95 (   0.13)     11.94 (   0.20)      8.68 (   0.28)   1.09e-15   9.30e-16   9.82e-16   ok
 1200     16.01 (   0.18)     21.06 (   0.14)     12.99 (   0.22)      9.14 (   0.32)   9.47e-16   9.47e-16   9.00e-16   ok
 1300     16.83 (   0.20)     22.85 (   0.15)     13.64 (   0.25)      8.13 (   0.42)   8.31e-16   9.62e-16   1.01e-15   ok
 1400     19.13 (   0.21)     24.67 (   0.16)     15.21 (   0.26)      8.23 (   0.48)   1.14e-15   1.22e-15   1.06e-15   ok
 1500     20.01 (   0.23)     26.68 (   0.17)     16.02 (   0.28)      8.88 (   0.51)   1.29e-15   1.06e-15   1.21e-15   ok
 1600     21.45 (   0.24)     28.27 (   0.18)     16.68 (   0.31)      8.60 (   0.60)   1.28e-15   1.28e-15   1.28e-15   ok
 1700     22.23 (   0.26)     29.65 (   0.20)     17.38 (   0.33)      9.79 (   0.59)   1.20e-15   1.27e-15   1.27e-15   ok
 1800     24.09 (   0.27)     31.92 (   0.20)     18.37 (   0.35)      9.71 (   0.67)   1.14e-15   1.33e-15   1.26e-15   ok
 1900     25.25 (   0.29)     33.30 (   0.22)     19.36 (   0.37)      9.19 (   0.79)   1.56e-15   1.56e-15   1.62e-15   ok
 2000     26.17 (   0.31)     34.50 (   0.23)     20.31 (   0.39)      9.68 (   0.83)   1.53e-15   1.53e-15   1.48e-15   ok
 2100     27.56 (   0.32)     36.29 (   0.24)     15.24 (   0.58)      9.79 (   0.90)   1.57e-15   1.57e-15   1.52e-15   ok
 2200     28.81 (   0.34)     37.40 (   0.26)     16.27 (   0.60)     10.19 (   0.95)   1.65e-15   1.86e-15   1.71e-15   ok
 2300     30.49 (   0.35)     39.50 (   0.27)     16.75 (   0.63)     10.14 (   1.04)   1.58e-15   1.43e-15   1.43e-15   ok
 2400     32.01 (   0.36)     40.72 (   0.28)     17.67 (   0.65)     10.36 (   1.11)   1.47e-15   1.37e-15   1.42e-15   ok
 2500     32.48 (   0.39)     42.37 (   0.30)     18.29 (   0.68)     10.59 (   1.18)   1.64e-15   1.59e-15   1.59e-15   ok
 2600     33.65 (   0.40)     43.77 (   0.31)     18.78 (   0.72)     10.59 (   1.28)   1.62e-15   1.62e-15   1.53e-15   ok
 2700     35.75 (   0.41)     45.42 (   0.32)     19.68 (   0.74)     10.93 (   1.33)   1.39e-15   1.35e-15   1.52e-15   ok
 2800     35.97 (   0.44)     46.14 (   0.34)     19.91 (   0.79)     10.83 (   1.45)   1.54e-15   1.54e-15   1.54e-15   ok
 2900     37.56 (   0.45)     47.68 (   0.35)     20.95 (   0.80)     10.81 (   1.56)   1.72e-15   1.72e-15   1.72e-15   ok
 3000     38.63 (   0.47)     49.75 (   0.36)     21.61 (   0.83)     11.28 (   1.60)   1.67e-15   1.59e-15   1.59e-15   ok
 3100     39.72 (   0.48)     50.06 (   0.38)     17.46 (   1.10)     11.06 (   1.74)   2.05e-15   2.05e-15   2.13e-15   ok
 3200     41.31 (   0.50)     52.14 (   0.39)     18.10 (   1.13)     11.23 (   1.82)   1.85e-15   1.99e-15   1.63e-15   ok
 3300     42.38 (   0.51)     52.25 (   0.42)     18.59 (   1.17)     11.04 (   1.97)   2.00e-15   1.86e-15   1.86e-15   ok
