
Sat Sep 12 10:51:47 EDT 2015
numactl --interleave=all ../testing/testing_ssymv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
   31      0.07 (   0.03)      0.07 (   0.03)      0.08 (   0.02)      0.64 (   0.00)   6.15e-08   9.23e-08   9.23e-08   ok
   32      0.07 (   0.03)      0.07 (   0.03)      0.09 (   0.02)      0.68 (   0.00)   5.96e-08   5.96e-08   5.96e-08   ok
   33      0.07 (   0.03)      0.08 (   0.03)      0.09 (   0.03)      0.78 (   0.00)   5.78e-08   5.78e-08   5.78e-08   ok
   34      0.07 (   0.03)      0.08 (   0.03)      0.09 (   0.03)      0.77 (   0.00)   1.12e-07   1.12e-07   1.12e-07   ok
   35      0.08 (   0.03)      0.08 (   0.03)      0.10 (   0.03)      0.81 (   0.00)   5.45e-08   5.45e-08   8.17e-08   ok
   36      0.08 (   0.03)      0.09 (   0.03)      0.10 (   0.03)      0.66 (   0.00)   7.95e-08   5.30e-08   7.95e-08   ok
   37      0.09 (   0.03)      0.09 (   0.03)      0.11 (   0.03)      0.91 (   0.00)   7.73e-08   5.15e-08   7.73e-08   ok
   38      0.10 (   0.03)      0.10 (   0.03)      0.11 (   0.03)      0.78 (   0.00)   7.53e-08   1.00e-07   1.00e-07   ok
   39      0.10 (   0.03)      0.10 (   0.03)      0.12 (   0.03)      0.77 (   0.00)   4.89e-08   4.89e-08   4.89e-08   ok
   40      0.11 (   0.03)      0.11 (   0.03)      0.12 (   0.03)      1.15 (   0.00)   9.54e-08   9.54e-08   9.54e-08   ok
   41      0.11 (   0.03)      0.11 (   0.03)      0.13 (   0.03)      1.11 (   0.00)   6.98e-08   9.30e-08   6.98e-08   ok
   42      0.12 (   0.03)      0.12 (   0.03)      0.13 (   0.03)      1.17 (   0.00)   6.81e-08   4.54e-08   6.81e-08   ok
   43      0.12 (   0.03)      0.12 (   0.03)      0.15 (   0.03)      0.93 (   0.00)   8.87e-08   8.87e-08   8.87e-08   ok
   44      0.13 (   0.03)      0.14 (   0.03)      0.16 (   0.03)      1.28 (   0.00)   1.08e-07   1.08e-07   6.50e-08   ok
   45      0.14 (   0.03)      0.14 (   0.03)      0.16 (   0.03)      1.02 (   0.00)   8.48e-08   6.36e-08   8.48e-08   ok
   46      0.14 (   0.03)      0.15 (   0.03)      0.18 (   0.02)      1.07 (   0.00)   8.29e-08   8.29e-08   8.29e-08   ok
   47      0.15 (   0.03)      0.15 (   0.03)      0.18 (   0.03)      1.18 (   0.00)   1.01e-07   1.22e-07   8.12e-08   ok
   48      0.16 (   0.03)      0.16 (   0.03)      0.19 (   0.03)      1.16 (   0.00)   7.95e-08   7.95e-08   7.95e-08   ok
   49      0.17 (   0.03)      0.16 (   0.03)      0.19 (   0.03)      1.21 (   0.00)   7.79e-08   7.79e-08   7.79e-08   ok
   50      0.18 (   0.03)      0.16 (   0.03)      0.20 (   0.03)      1.26 (   0.00)   1.14e-07   7.63e-08   7.63e-08   ok
   51      0.14 (   0.04)      0.17 (   0.03)      0.20 (   0.03)      1.31 (   0.00)   7.48e-08   1.12e-07   7.48e-08   ok
   52      0.17 (   0.03)      0.18 (   0.03)      0.20 (   0.03)      1.10 (   0.01)   1.10e-07   1.10e-07   1.47e-07   ok
   53      0.18 (   0.03)      0.18 (   0.03)      0.21 (   0.03)      1.41 (   0.00)   1.08e-07   1.08e-07   7.20e-08   ok
   54      0.18 (   0.03)      0.19 (   0.03)      0.22 (   0.03)      1.19 (   0.01)   7.06e-08   1.06e-07   7.06e-08   ok
   55      0.19 (   0.03)      0.20 (   0.03)      0.22 (   0.03)      1.23 (   0.01)   6.94e-08   6.94e-08   6.94e-08   ok
   56      0.20 (   0.03)      0.21 (   0.03)      0.23 (   0.03)      1.58 (   0.00)   6.81e-08   6.81e-08   6.81e-08   ok
   57      0.22 (   0.03)      0.21 (   0.03)      0.24 (   0.03)      1.63 (   0.00)   6.69e-08   6.69e-08   6.69e-08   ok
   58      0.21 (   0.03)      0.22 (   0.03)      0.24 (   0.03)      1.69 (   0.00)   6.58e-08   6.58e-08   6.58e-08   ok
   59      0.24 (   0.03)      0.22 (   0.03)      0.25 (   0.03)      1.41 (   0.01)   6.47e-08   9.70e-08   9.70e-08   ok
   60      0.22 (   0.03)      0.23 (   0.03)      0.26 (   0.03)      1.46 (   0.01)   9.54e-08   9.54e-08   9.54e-08   ok
   61      0.25 (   0.03)      0.24 (   0.03)      0.25 (   0.03)      1.51 (   0.01)   9.38e-08   9.38e-08   1.25e-07   ok
   62      0.25 (   0.03)      0.25 (   0.03)      0.27 (   0.03)      1.26 (   0.01)   9.23e-08   9.23e-08   9.23e-08   ok
   63      0.24 (   0.03)      0.25 (   0.03)      0.27 (   0.03)      1.35 (   0.01)   9.08e-08   9.08e-08   9.08e-08   ok
   64      0.26 (   0.03)      0.26 (   0.03)      0.28 (   0.03)      1.66 (   0.01)   8.94e-08   8.94e-08   8.94e-08   ok
   65      0.24 (   0.04)      0.23 (   0.04)      0.27 (   0.03)      1.71 (   0.01)   1.47e-07   1.47e-07   1.47e-07   ok
   66      0.24 (   0.04)      0.22 (   0.04)      0.29 (   0.03)      2.18 (   0.00)   1.44e-07   1.73e-07   1.44e-07   ok
   67      0.26 (   0.04)      0.25 (   0.04)      0.29 (   0.03)      1.53 (   0.01)   1.42e-07   8.54e-08   8.54e-08   ok
   68      0.26 (   0.04)      0.25 (   0.04)      0.31 (   0.03)      1.57 (   0.01)   1.12e-07   8.41e-08   1.40e-07   ok
   69      0.27 (   0.04)      0.25 (   0.04)      0.32 (   0.03)      2.53 (   0.00)   8.29e-08   8.29e-08   1.11e-07   ok
   70      0.28 (   0.04)      0.27 (   0.04)      0.32 (   0.03)      1.60 (   0.01)   1.09e-07   8.17e-08   8.17e-08   ok
   71      0.29 (   0.04)      0.28 (   0.04)      0.35 (   0.03)      1.72 (   0.01)   1.61e-07   1.07e-07   1.07e-07   ok
   72      0.31 (   0.03)      0.29 (   0.04)      0.34 (   0.03)      2.10 (   0.01)   1.06e-07   1.06e-07   1.06e-07   ok
   73      0.32 (   0.03)      0.30 (   0.04)      0.36 (   0.03)      2.16 (   0.01)   1.57e-07   1.05e-07   1.05e-07   ok
   74      0.33 (   0.03)      0.31 (   0.04)      0.37 (   0.03)      2.22 (   0.01)   7.73e-08   5.15e-08   7.73e-08   ok
   75      0.34 (   0.03)      0.32 (   0.04)      0.38 (   0.03)      2.28 (   0.01)   1.02e-07   7.63e-08   1.02e-07   ok
   76      0.34 (   0.03)      0.33 (   0.04)      0.40 (   0.03)      2.34 (   0.01)   1.00e-07   1.00e-07   7.53e-08   ok
   77      0.35 (   0.03)      0.33 (   0.04)      0.41 (   0.03)      2.02 (   0.01)   7.43e-08   7.43e-08   9.91e-08   ok
   78      0.36 (   0.03)      0.35 (   0.04)      0.41 (   0.03)      1.78 (   0.01)   9.78e-08   9.78e-08   9.78e-08   ok
   79      0.38 (   0.03)      0.35 (   0.04)      0.42 (   0.03)      1.77 (   0.01)   1.45e-07   9.66e-08   9.66e-08   ok
   80      0.38 (   0.03)      0.36 (   0.04)      0.43 (   0.03)      2.59 (   0.01)   9.54e-08   9.54e-08   9.54e-08   ok
   81      0.38 (   0.04)      0.36 (   0.04)      0.43 (   0.03)      2.23 (   0.01)   9.42e-08   9.42e-08   1.41e-07   ok
   82      0.39 (   0.04)      0.37 (   0.04)      0.44 (   0.03)      2.20 (   0.01)   1.16e-07   9.30e-08   9.30e-08   ok
   83      0.34 (   0.04)      0.37 (   0.04)      0.46 (   0.03)      2.34 (   0.01)   9.19e-08   9.19e-08   6.89e-08   ok
   84      0.41 (   0.04)      0.39 (   0.04)      0.48 (   0.03)      2.00 (   0.01)   9.08e-08   1.36e-07   9.08e-08   ok
   85      0.42 (   0.04)      0.40 (   0.04)      0.49 (   0.03)      2.45 (   0.01)   1.12e-07   1.12e-07   1.12e-07   ok
   86      0.42 (   0.04)      0.40 (   0.04)      0.50 (   0.03)      2.09 (   0.01)   1.33e-07   8.87e-08   8.87e-08   ok
   87      0.44 (   0.04)      0.41 (   0.04)      0.51 (   0.03)      2.14 (   0.01)   8.77e-08   1.32e-07   1.32e-07   ok
   88      0.44 (   0.04)      0.41 (   0.04)      0.51 (   0.03)      3.13 (   0.01)   1.30e-07   1.30e-07   1.30e-07   ok
   89      0.46 (   0.04)      0.42 (   0.04)      0.53 (   0.03)      2.32 (   0.01)   8.57e-08   1.29e-07   8.57e-08   ok
   90      0.45 (   0.04)      0.44 (   0.04)      0.53 (   0.03)      2.75 (   0.01)   8.48e-08   8.48e-08   8.48e-08   ok
  100      0.54 (   0.04)      0.53 (   0.04)      0.61 (   0.03)      2.49 (   0.01)   1.14e-07   1.14e-07   1.14e-07   ok
  110      0.64 (   0.04)      0.62 (   0.04)      0.74 (   0.03)      3.53 (   0.01)   1.04e-07   1.04e-07   1.04e-07   ok
  120      0.81 (   0.04)      0.77 (   0.04)      0.88 (   0.03)      3.58 (   0.01)   1.27e-07   1.27e-07   1.27e-07   ok
  130      0.83 (   0.04)      0.87 (   0.04)      0.95 (   0.04)      3.76 (   0.01)   1.76e-07   1.76e-07   1.47e-07   ok
  140      0.91 (   0.04)      1.02 (   0.04)      1.10 (   0.04)      5.52 (   0.01)   1.36e-07   1.36e-07   1.36e-07   ok
  150      1.06 (   0.04)      1.14 (   0.04)      1.26 (   0.04)      4.52 (   0.01)   2.03e-07   1.53e-07   1.27e-07   ok
  160      1.22 (   0.04)      1.33 (   0.04)      1.43 (   0.04)      6.36 (   0.01)   1.43e-07   1.43e-07   1.43e-07   ok
  170      1.45 (   0.04)      1.49 (   0.04)      1.61 (   0.04)      5.81 (   0.01)   1.80e-07   1.35e-07   1.80e-07   ok
  180      1.59 (   0.04)      1.63 (   0.04)      1.59 (   0.04)      5.81 (   0.01)   1.48e-07   1.91e-07   1.48e-07   ok
  190      1.82 (   0.04)      1.86 (   0.04)      1.96 (   0.04)      4.91 (   0.01)   2.01e-07   1.61e-07   1.61e-07   ok
  200      1.71 (   0.05)      1.96 (   0.04)      2.01 (   0.04)      8.03 (   0.01)   2.29e-07   2.29e-07   1.91e-07   ok
  210      1.97 (   0.05)      2.16 (   0.04)      2.21 (   0.04)      7.29 (   0.01)   1.82e-07   1.45e-07   1.45e-07   ok
  220      2.03 (   0.05)      2.43 (   0.04)      2.49 (   0.04)      8.16 (   0.01)   2.43e-07   2.43e-07   2.08e-07   ok
  230      2.36 (   0.05)      2.53 (   0.04)      2.53 (   0.04)      6.65 (   0.02)   2.65e-07   2.32e-07   2.32e-07   ok
  240      2.41 (   0.05)      2.76 (   0.04)      2.82 (   0.04)      7.70 (   0.02)   2.86e-07   2.54e-07   2.54e-07   ok
  250      2.62 (   0.05)      2.99 (   0.04)      2.99 (   0.04)      8.36 (   0.02)   1.53e-07   1.53e-07   1.83e-07   ok
  260      2.66 (   0.05)      3.23 (   0.04)      3.22 (   0.04)      3.16 (   0.04)   2.64e-07   2.05e-07   2.64e-07   ok
  270      2.98 (   0.05)      3.41 (   0.04)      3.41 (   0.04)      3.65 (   0.04)   2.54e-07   2.83e-07   2.83e-07   ok
  280      3.03 (   0.05)      3.57 (   0.04)      3.59 (   0.04)      3.93 (   0.04)   3.27e-07   3.00e-07   3.00e-07   ok
  290      3.37 (   0.05)      3.83 (   0.04)      3.69 (   0.05)      3.67 (   0.05)   3.16e-07   2.63e-07   3.16e-07   ok
  300      3.47 (   0.05)      4.03 (   0.04)      3.92 (   0.05)      3.61 (   0.05)   2.54e-07   2.54e-07   2.54e-07   ok
  310      3.71 (   0.05)      4.28 (   0.05)      4.19 (   0.05)      3.63 (   0.05)   2.46e-07   2.46e-07   2.21e-07   ok
  320      4.20 (   0.05)      4.79 (   0.04)      4.68 (   0.04)      3.80 (   0.05)   2.86e-07   2.86e-07   2.38e-07   ok
  330      3.90 (   0.06)      4.85 (   0.05)      4.56 (   0.05)      4.20 (   0.05)   2.54e-07   2.31e-07   2.31e-07   ok
  340      4.28 (   0.05)      5.26 (   0.04)      4.74 (   0.05)      4.28 (   0.05)   3.59e-07   4.04e-07   3.59e-07   ok
  350      4.31 (   0.06)      5.34 (   0.05)      5.00 (   0.05)      3.96 (   0.06)   2.18e-07   2.18e-07   2.18e-07   ok
  360      4.82 (   0.05)      5.65 (   0.05)      5.12 (   0.05)      4.33 (   0.06)   2.54e-07   2.54e-07   2.54e-07   ok
  370      4.90 (   0.06)      6.26 (   0.04)      5.48 (   0.05)      4.74 (   0.06)   2.89e-07   2.47e-07   2.89e-07   ok
  380      5.35 (   0.05)      6.29 (   0.05)      5.68 (   0.05)      4.60 (   0.06)   2.41e-07   3.21e-07   2.81e-07   ok
  390      5.08 (   0.06)      6.49 (   0.05)      5.98 (   0.05)      5.54 (   0.06)   3.13e-07   2.35e-07   2.35e-07   ok
  400      5.34 (   0.06)      6.80 (   0.05)      6.17 (   0.05)      6.41 (   0.05)   2.67e-07   3.05e-07   2.67e-07   ok
  410      5.61 (   0.06)      7.48 (   0.05)      6.61 (   0.05)      5.35 (   0.06)   2.98e-07   2.61e-07   2.61e-07   ok
  420      5.89 (   0.06)      7.53 (   0.05)      6.65 (   0.05)      5.70 (   0.06)   2.54e-07   2.54e-07   2.54e-07   ok
  430      6.17 (   0.06)      7.58 (   0.05)      6.76 (   0.05)      5.38 (   0.07)   3.19e-07   3.55e-07   3.19e-07   ok
  440      6.59 (   0.06)      5.71 (   0.07)      7.47 (   0.05)      6.07 (   0.06)   2.77e-07   2.77e-07   2.43e-07   ok
  450      6.26 (   0.06)      8.15 (   0.05)      7.28 (   0.06)      5.64 (   0.07)   2.71e-07   2.71e-07   2.71e-07   ok
  460      6.52 (   0.07)      8.64 (   0.05)      7.70 (   0.06)      6.07 (   0.07)   2.99e-07   2.99e-07   2.65e-07   ok
  470      7.14 (   0.06)      9.19 (   0.05)      8.22 (   0.05)      5.84 (   0.08)   3.57e-07   3.57e-07   3.57e-07   ok
  480      7.31 (   0.06)      9.40 (   0.05)      8.10 (   0.06)      6.41 (   0.07)   3.50e-07   3.81e-07   3.50e-07   ok
  490      7.42 (   0.06)      9.61 (   0.05)      8.17 (   0.06)      6.33 (   0.08)   3.74e-07   3.43e-07   3.43e-07   ok
  500      8.08 (   0.06)     10.20 (   0.05)      8.65 (   0.06)      6.51 (   0.08)   3.66e-07   4.27e-07   3.97e-07   ok
  510      7.89 (   0.07)     10.41 (   0.05)      8.71 (   0.06)      6.51 (   0.08)   3.29e-07   3.59e-07   3.59e-07   ok
  520      7.73 (   0.07)     10.42 (   0.05)      8.71 (   0.06)      9.67 (   0.06)   2.93e-07   2.93e-07   2.93e-07   ok
  530      7.92 (   0.07)     11.03 (   0.05)      9.08 (   0.06)      9.88 (   0.06)   3.17e-07   3.17e-07   3.17e-07   ok
  540      8.48 (   0.07)     11.45 (   0.05)      9.14 (   0.06)     10.25 (   0.06)   3.67e-07   3.39e-07   3.39e-07   ok
  550      8.92 (   0.07)     11.66 (   0.05)      9.45 (   0.06)      9.05 (   0.07)   3.61e-07   3.61e-07   3.61e-07   ok
  560      9.25 (   0.07)     12.31 (   0.05)      9.69 (   0.06)     10.67 (   0.06)   3.27e-07   3.27e-07   3.00e-07   ok
  570      9.45 (   0.07)     12.52 (   0.05)      9.72 (   0.07)      9.04 (   0.07)   3.75e-07   3.48e-07   3.75e-07   ok
  580      9.21 (   0.07)     12.45 (   0.05)      9.78 (   0.07)      9.09 (   0.07)   3.42e-07   3.42e-07   3.42e-07   ok
  590      9.29 (   0.08)     13.18 (   0.05)     10.09 (   0.07)      8.19 (   0.09)   4.14e-07   3.88e-07   3.62e-07   ok
  600      9.76 (   0.07)     13.63 (   0.05)     10.29 (   0.07)      9.89 (   0.07)   3.81e-07   3.56e-07   3.56e-07   ok
  610     10.05 (   0.07)     13.77 (   0.05)     10.35 (   0.07)     10.22 (   0.07)   3.25e-07   3.50e-07   3.25e-07   ok
  620     10.00 (   0.08)     13.98 (   0.06)     10.69 (   0.07)     10.69 (   0.07)   3.94e-07   3.69e-07   3.94e-07   ok
  630     10.59 (   0.08)     14.19 (   0.06)     11.04 (   0.07)      8.92 (   0.09)   3.63e-07   2.91e-07   3.15e-07   ok
  640     10.40 (   0.08)     15.50 (   0.05)     11.07 (   0.07)     11.10 (   0.07)   4.29e-07   4.05e-07   4.05e-07   ok
  650     10.32 (   0.08)     15.10 (   0.06)     11.45 (   0.07)     10.82 (   0.08)   3.52e-07   3.52e-07   3.05e-07   ok
  660     10.64 (   0.08)     15.64 (   0.06)     11.65 (   0.07)     11.19 (   0.08)   3.93e-07   3.93e-07   3.70e-07   ok
  670     11.36 (   0.08)     16.05 (   0.06)     11.82 (   0.08)     11.68 (   0.08)   4.10e-07   3.42e-07   3.64e-07   ok
  680     11.60 (   0.08)     16.25 (   0.06)     12.03 (   0.08)     11.74 (   0.08)   4.04e-07   4.04e-07   3.59e-07   ok
  690     11.80 (   0.08)     16.46 (   0.06)     12.38 (   0.08)     11.76 (   0.08)   5.31e-07   5.31e-07   4.87e-07   ok
  700     12.25 (   0.08)     16.94 (   0.06)     12.40 (   0.08)     11.69 (   0.08)   3.71e-07   3.49e-07   3.27e-07   ok
  710     12.17 (   0.08)     17.36 (   0.06)     12.60 (   0.08)     10.97 (   0.09)   3.44e-07   3.44e-07   3.44e-07   ok
  720     12.51 (   0.08)     18.22 (   0.06)     12.96 (   0.08)     12.51 (   0.08)   4.24e-07   4.24e-07   4.66e-07   ok
  730     12.86 (   0.08)     18.42 (   0.06)     13.20 (   0.08)     11.22 (   0.10)   5.02e-07   4.60e-07   4.60e-07   ok
  740     12.33 (   0.09)     18.62 (   0.06)     13.22 (   0.08)     10.98 (   0.10)   4.12e-07   4.12e-07   4.12e-07   ok
  750     13.09 (   0.09)     19.13 (   0.06)     13.58 (   0.08)     10.62 (   0.11)   3.66e-07   3.66e-07   3.66e-07   ok
  760     13.48 (   0.09)     19.97 (   0.06)     14.10 (   0.08)     12.04 (   0.10)   4.02e-07   4.02e-07   4.02e-07   ok
  770     13.04 (   0.09)     19.53 (   0.06)     13.95 (   0.09)     12.61 (   0.09)   6.74e-07   6.34e-07   5.94e-07   ok
  780     13.66 (   0.09)     20.28 (   0.06)     14.31 (   0.09)     12.94 (   0.09)   4.30e-07   3.91e-07   3.91e-07   ok
  790     13.72 (   0.09)     20.80 (   0.06)     14.68 (   0.09)     13.01 (   0.10)   4.25e-07   4.25e-07   3.86e-07   ok
  800     14.57 (   0.09)     21.42 (   0.06)     15.10 (   0.08)     13.08 (   0.10)   4.58e-07   4.20e-07   4.58e-07   ok
  810     14.77 (   0.09)     21.53 (   0.06)     15.26 (   0.09)     13.28 (   0.10)   4.90e-07   3.77e-07   3.77e-07   ok
  820     14.48 (   0.09)     22.06 (   0.06)     15.30 (   0.09)     13.45 (   0.10)   3.72e-07   3.72e-07   3.72e-07   ok
  830     14.99 (   0.09)     21.92 (   0.06)     15.68 (   0.09)     12.44 (   0.11)   4.04e-07   4.41e-07   4.04e-07   ok
  840     14.42 (   0.10)     22.79 (   0.06)     15.89 (   0.09)     13.85 (   0.10)   4.00e-07   4.00e-07   4.00e-07   ok
  850     14.48 (   0.10)     22.98 (   0.06)     16.10 (   0.09)     12.91 (   0.11)   5.39e-07   5.03e-07   5.03e-07   ok
  860     14.79 (   0.10)     23.53 (   0.06)     16.26 (   0.09)     13.44 (   0.11)   5.32e-07   5.32e-07   5.32e-07   ok
  870     15.47 (   0.10)     23.63 (   0.06)     16.47 (   0.09)     13.41 (   0.11)   3.86e-07   4.21e-07   3.86e-07   ok
  880     15.52 (   0.10)     24.27 (   0.06)     16.85 (   0.09)     14.11 (   0.11)   4.51e-07   4.16e-07   4.16e-07   ok
  890     15.69 (   0.10)     24.37 (   0.07)     17.23 (   0.09)     14.15 (   0.11)   4.80e-07   4.80e-07   4.80e-07   ok
  900     15.18 (   0.11)     24.56 (   0.07)     17.09 (   0.09)     13.63 (   0.12)   3.73e-07   4.41e-07   4.07e-07   ok
 1000     17.42 (   0.11)     28.18 (   0.07)     19.26 (   0.10)     15.05 (   0.13)   6.71e-07   6.41e-07   6.10e-07   ok
 1100     18.64 (   0.13)     31.85 (   0.08)     20.73 (   0.12)     15.95 (   0.15)   5.55e-07   5.83e-07   5.83e-07   ok
 1200     21.32 (   0.14)     35.56 (   0.08)     23.43 (   0.12)     16.27 (   0.18)   6.61e-07   6.36e-07   5.85e-07   ok
 1300     22.52 (   0.15)     39.74 (   0.09)     25.61 (   0.13)     15.16 (   0.22)   5.87e-07   5.63e-07   5.40e-07   ok
 1400     24.82 (   0.16)     44.11 (   0.09)     28.03 (   0.14)     17.36 (   0.23)   5.67e-07   5.67e-07   5.23e-07   ok
 1500     26.64 (   0.17)     48.43 (   0.09)     28.53 (   0.16)     17.80 (   0.25)   6.51e-07   5.70e-07   5.70e-07   ok
 1600     29.28 (   0.17)     52.80 (   0.10)     31.23 (   0.16)     16.80 (   0.30)   6.10e-07   6.10e-07   6.10e-07   ok
 1700     30.94 (   0.19)     55.51 (   0.10)     33.41 (   0.17)     17.01 (   0.34)   6.46e-07   6.10e-07   5.74e-07   ok
 1800     32.88 (   0.20)     60.03 (   0.11)     35.83 (   0.18)     17.72 (   0.37)   8.14e-07   8.48e-07   8.14e-07   ok
 1900     34.59 (   0.21)     63.39 (   0.11)     37.64 (   0.19)     17.49 (   0.41)   7.39e-07   7.39e-07   7.39e-07   ok
 2000     35.91 (   0.22)     62.99 (   0.13)     36.57 (   0.22)     18.03 (   0.44)   7.32e-07   8.54e-07   8.85e-07   ok
 2100     38.71 (   0.23)     64.37 (   0.14)     24.24 (   0.36)     18.34 (   0.48)   8.43e-07   7.85e-07   7.85e-07   ok
 2200     39.55 (   0.24)     68.15 (   0.14)     25.21 (   0.38)     17.68 (   0.55)   7.21e-07   7.77e-07   8.05e-07   ok
 2300     42.16 (   0.25)     71.49 (   0.15)     25.69 (   0.41)     19.45 (   0.54)   8.49e-07   7.70e-07   7.70e-07   ok
 2400     43.82 (   0.26)     76.85 (   0.15)     27.05 (   0.43)     19.53 (   0.59)   6.36e-07   6.87e-07   7.12e-07   ok
 2500     44.64 (   0.28)     79.11 (   0.16)     28.09 (   0.45)     20.40 (   0.61)   9.03e-07   8.06e-07   8.06e-07   ok
 2600     47.16 (   0.29)     79.56 (   0.17)     28.78 (   0.47)     20.10 (   0.67)   8.92e-07   8.45e-07   8.92e-07   ok
 2700     49.10 (   0.30)     86.77 (   0.17)     30.20 (   0.48)     20.65 (   0.71)   7.69e-07   7.01e-07   6.78e-07   ok
 2800     50.96 (   0.31)     86.11 (   0.18)     30.95 (   0.51)     20.56 (   0.76)   9.37e-07   9.37e-07   8.94e-07   ok
 2900     52.28 (   0.32)     92.01 (   0.18)     32.55 (   0.52)     20.59 (   0.82)   1.05e-06   1.05e-06   1.14e-06   ok
 3000     52.34 (   0.34)     94.29 (   0.19)     33.28 (   0.54)     20.14 (   0.89)   9.36e-07   8.95e-07   7.73e-07   ok
 3100     55.92 (   0.34)     99.19 (   0.19)     34.14 (   0.56)     21.05 (   0.91)   9.06e-07   9.84e-07   9.45e-07   ok
 3200     57.40 (   0.36)    102.42 (   0.20)     35.26 (   0.58)     20.63 (   0.99)   9.16e-07   8.77e-07   8.77e-07   ok
 3300     59.18 (   0.37)    105.28 (   0.21)     36.38 (   0.60)     21.01 (   1.04)   9.62e-07   9.62e-07   9.25e-07   ok
